sample_id	cluster_id	size	mean	std
PD056_F2_1709_pyclone	0	5493	0.9900000000000005	
PD056_F0_1636_pyclone	0	5493	1.0000000000000042	
PD056_56_T_pyclone	0	5493	0.839970471461589	0.0005426013355135062
PD056_F2_1709_pyclone	1	28	0.4823801518868535	0.04712189102654267
PD056_F0_1636_pyclone	1	28	0.42753691663926185	0.03923029326626083
PD056_56_T_pyclone	1	28	0.35003862889158943	0.022654442995368302
PD056_F2_1709_pyclone	2	1	0.5382224573838902	0.25283648068306275
PD056_F0_1636_pyclone	2	1	0.6461947724761952	0.21144167084354368
PD056_56_T_pyclone	2	1	0.1857022253827138	0.1414691335568516
PD056_F2_1709_pyclone	3	1	0.6180803976699616	0.22241927053182486
PD056_F0_1636_pyclone	3	1	0.5904013640305841	0.2332265473543569
PD056_56_T_pyclone	3	1	0.1549779818110879	0.10281786784535467
PD056_F2_1709_pyclone	4	1	0.596649691892459	0.22308244372123207
PD056_F0_1636_pyclone	4	1	0.6094986603885281	0.2168726665171526
PD056_56_T_pyclone	4	1	0.23991870394056186	0.12834264823442867
PD056_F2_1709_pyclone	5	1056	0.18786905966227144	0.004927935902523138
PD056_F0_1636_pyclone	5	1056	0.1292931462804798	0.002660454540421551
PD056_56_T_pyclone	5	1056	1.053098850724549e-214	1.0262060469148236e-108
PD056_F2_1709_pyclone	6	1031	6.326198197053909e-128	2.515193471097981e-65
PD056_F0_1636_pyclone	6	1031	2.8937128312812834e-119	5.379324150189579e-61
PD056_56_T_pyclone	6	1031	0.3680132179619836	0.00884647691954945
PD056_F2_1709_pyclone	7	1	0.6370738081556863	0.2091826655131552
PD056_F0_1636_pyclone	7	1	0.6187222449476103	0.20862763302400797
PD056_56_T_pyclone	7	1	0.06004380025327077	0.04719692354367773
PD056_F2_1709_pyclone	8	1	0.5915390587636985	0.25230725526817754
PD056_F0_1636_pyclone	8	1	0.3870209487711646	0.22708573504493174
PD056_56_T_pyclone	8	1	0.32081183220584425	0.137961545513385
PD056_F2_1709_pyclone	9	1	0.4944568574304682	0.2616243775571404
PD056_F0_1636_pyclone	9	1	0.5740450509809192	0.22742644581019658
PD056_56_T_pyclone	9	1	0.3017439750600186	0.16502790661644798
PD056_F2_1709_pyclone	10	152	0.694708516483636	0.06860862279333595
PD056_F0_1636_pyclone	10	152	0.4243058025811514	0.022026225005852974
PD056_56_T_pyclone	10	152	2.3970730446866096e-28	1.548248379520098e-15
PD056_F2_1709_pyclone	11	1	0.48378427558107934	0.2661497419372379
PD056_F0_1636_pyclone	11	1	0.2747481213030785	0.2476135530263457
PD056_56_T_pyclone	11	1	0.463516762278628	0.2084874180633914
PD056_F2_1709_pyclone	12	1	0.5951380372706832	0.2401459238504073
PD056_F0_1636_pyclone	12	1	0.6279811577923287	0.23497538447145386
PD056_56_T_pyclone	12	1	0.030948386775561235	0.038824553315791856
PD056_F2_1709_pyclone	13	1	0.5726838326477206	0.22902435544643177
PD056_F0_1636_pyclone	13	1	0.5913010358183106	0.22112008807797842
PD056_56_T_pyclone	13	1	0.13126920948324924	0.0829895119058848
PD056_F2_1709_pyclone	14	1	0.1943220358211145	0.2275837337896074
PD056_F0_1636_pyclone	14	1	0.35593741857936934	0.2706826290583262
PD056_56_T_pyclone	14	1	0.5803827577841396	0.2907192098720974
PD056_F2_1709_pyclone	15	1	0.6273343239691364	0.21170115999437067
PD056_F0_1636_pyclone	15	1	0.5846042438899719	0.22811165008755538
PD056_56_T_pyclone	15	1	0.30149942114684863	0.14972286045504934
PD056_F2_1709_pyclone	16	1	0.5350718673548633	0.2894717986090101
PD056_F0_1636_pyclone	16	1	0.5476662667611956	0.2480818992145768
PD056_56_T_pyclone	16	1	0.1329264298854508	0.08429281100552444
PD056_F2_1709_pyclone	17	1	0.6313318183852029	0.2002371509890269
PD056_F0_1636_pyclone	17	1	0.607014818708094	0.212700923662073
PD056_56_T_pyclone	17	1	0.19651740193984282	0.09444819006298413
PD056_F2_1709_pyclone	18	1	0.523089173083864	0.28328424371292077
PD056_F0_1636_pyclone	18	1	0.5102542671652073	0.2751025689860856
PD056_56_T_pyclone	18	1	0.34319325621877267	0.17584603845946506
PD056_F2_1709_pyclone	19	1	0.5070578350310162	0.27331870198855474
PD056_F0_1636_pyclone	19	1	0.5455226909696864	0.24653562207745505
PD056_56_T_pyclone	19	1	0.03749044716343088	0.04455551939799804
PD056_F2_1709_pyclone	20	1	0.5363755360597752	0.2569733512748785
PD056_F0_1636_pyclone	20	1	0.6216401058475519	0.21309247855736402
PD056_56_T_pyclone	20	1	0.14035142058751077	0.09524817426623693
PD056_F2_1709_pyclone	21	1	0.5514236302173576	0.2678149107974491
PD056_F0_1636_pyclone	21	1	0.6085666839839069	0.22111532236303666
PD056_56_T_pyclone	21	1	0.31462888195746297	0.13142485452393887
PD056_F2_1709_pyclone	22	1	0.6536097431482591	0.20266134287145188
PD056_F0_1636_pyclone	22	1	0.6312409184222938	0.21114370723483528
PD056_56_T_pyclone	22	1	0.08681132316608257	0.06057004872434893
PD056_F2_1709_pyclone	23	1	0.5694307886943578	0.23128193864419333
