sample_id	cluster_id	size	mean	std
PD058-F2_1815_pyclone	0	2622	0.0	0.0
PD058-58_T_pyclone	0	2622	0.0	0.0
PD058-F0_D780_pyclone	0	2622	5.013356768878999e-260	2.239052649867573e-131
PD058-F0_D779_pyclone	0	2622	0.9671578289180875	0.0045104071083186615
PD058-F2_1815_pyclone	1	69	2.0803445306311907e-15	4.561079401447393e-09
PD058-58_T_pyclone	1	69	1.058391927038488e-13	3.253293603453743e-08
PD058-F0_D780_pyclone	1	69	1.5042173804079482e-13	3.878424139241781e-08
PD058-F0_D779_pyclone	1	69	0.243029395647741	0.008723619638356838
PD058-F2_1815_pyclone	2	64	0.6533527043551787	0.014126574086557235
PD058-58_T_pyclone	2	64	5.007583858295382e-11	7.076428362866663e-07
PD058-F0_D780_pyclone	2	64	4.6391985513608625e-09	6.811164675167003e-06
PD058-F0_D779_pyclone	2	64	4.2229995661394996e-11	6.498461011232071e-07
PD058-F2_1815_pyclone	3	369	0.28252853552280843	0.0044647651854574045
PD058-58_T_pyclone	3	369	6.365260868195352e-61	7.978258499318853e-32
PD058-F0_D780_pyclone	3	369	4.996002941892503e-63	7.068240899893342e-33
PD058-F0_D779_pyclone	3	369	7.54199611430702e-56	2.7462694904737625e-29
PD058-F2_1815_pyclone	4	2312	0.9999999845461945	1.2441996676771535e-05
PD058-58_T_pyclone	4	2312	0.4671409294467316	0.0045184534605261
PD058-F0_D780_pyclone	4	2312	0.9690456844499431	0.002938101619948097
PD058-F0_D779_pyclone	4	2312	7.503958573003526e-105	8.662539219538072e-54
PD058-F2_1815_pyclone	5	1124	0.9832238565638686	0.004683632080556374
PD058-58_T_pyclone	5	1124	0.4601683430892896	0.001342969161223012
PD058-F0_D780_pyclone	5	1124	0.959346008908296	0.00254036010564816
PD058-F0_D779_pyclone	5	1124	0.967074405304692	0.004565005271411515
PD058-F2_1815_pyclone	6	2	0.9597080546326572	0.03791615508134582
PD058-58_T_pyclone	6	2	0.2609667131777516	0.05497150275909749
PD058-F0_D780_pyclone	6	2	0.9167201216859932	0.05897541100180302
PD058-F0_D779_pyclone	6	2	0.01989147769928863	0.015834190279577737
PD058-F2_1815_pyclone	7	18	0.9209721930910614	0.02947158354783787
PD058-58_T_pyclone	7	18	3.3653570555239947e-06	0.00018349738558900847
PD058-F0_D780_pyclone	7	18	0.3395304227760187	0.02226348420836391
PD058-F0_D779_pyclone	7	18	3.1312967568713463e-06	0.00017699907436529176
PD058-F2_1815_pyclone	8	85	0.8344933139253823	0.010529034466537933
PD058-58_T_pyclone	8	85	0.4371957331695844	0.008917793659148025
PD058-F0_D780_pyclone	8	85	0.8432868905910551	0.010653918783554314
PD058-F0_D779_pyclone	8	85	1.6725450922677636e-05	0.00040862546239583443
PD058-F2_1815_pyclone	9	22	2.6750599406796867e-06	0.0001635387989327498
PD058-58_T_pyclone	9	22	3.9951138316173515e-06	0.000199845804047613
PD058-F0_D780_pyclone	9	22	0.24566755555732855	0.015388652556613057
PD058-F0_D779_pyclone	9	22	2.6067503294600592e-05	0.0005099340505771103
PD058-F2_1815_pyclone	10	165	0.9800634806398602	0.009670038925984704
PD058-58_T_pyclone	10	165	5.0074646808403126e-30	2.23773650835846e-16
PD058-F0_D780_pyclone	10	165	0.8203564015431881	0.009482200442719113
PD058-F0_D779_pyclone	10	165	1.4623474007706627e-25	3.82406511551603e-14
PD058-F2_1815_pyclone	11	246	2.6639017109994603e-50	1.632146350974526e-26
PD058-58_T_pyclone	11	246	0.2398617131211949	0.004067371136314176
PD058-F0_D780_pyclone	11	246	1.40934554169197e-49	3.7541251200405804e-26
PD058-F0_D779_pyclone	11	246	1.264729388718401e-42	1.1246018800973086e-22
PD058-F2_1815_pyclone	12	11	0.9886853569235106	0.014615244621709943
PD058-58_T_pyclone	12	11	0.06773286825457231	0.01429799462028036
PD058-F0_D780_pyclone	12	11	0.9332324625180611	0.029795255201534088
PD058-F0_D779_pyclone	12	11	0.0001942538800572163	0.0014067398017277904
PD058-F2_1815_pyclone	13	47	0.9943716781416694	0.007955404948289934
PD058-58_T_pyclone	13	47	2.663169765875177e-09	5.1605904112182815e-06
PD058-F0_D780_pyclone	13	47	0.00013517094882358876	0.0011547506131835048
PD058-F0_D779_pyclone	13	47	3.9507063150727456e-08	1.9876347600438356e-05
PD058-F2_1815_pyclone	14	171	0.9881529240799565	0.008616162965426975
PD058-58_T_pyclone	14	171	0.01999987609295982	3.5236128282420906e-05
PD058-F0_D780_pyclone	14	171	0.9979723374802095	0.004336879563259093
PD058-F0_D779_pyclone	14	171	8.471341015447694e-30	2.910556822233109e-16
PD058-F2_1815_pyclone	15	1	0.8480597656808797	0.1223252029136107
PD058-58_T_pyclone	15	1	0.06956921927300692	0.07179221763913365
PD058-F0_D780_pyclone	15	1	0.5000133535343368	0.16369336818274072
PD058-F0_D779_pyclone	15	1	0.05531727436788922	0.05841840407988092
PD058-F2_1815_pyclone	16	7	0.3868411002298878	0.04202418177709393
PD058-58_T_pyclone	16	7	0.15894565878782121	0.029182394545919064
PD058-F0_D780_pyclone	16	7	0.31816865328577937	0.03906712894724985
PD058-F0_D779_pyclone	16	7	0.010774323880805424	0.006735928142416259
PD058-F2_1815_pyclone	17	1	0.23191196216757645	0.11131409942583295
PD058-58_T_pyclone	17	1	0.5550328582494357	0.1731362980695418
PD058-F0_D780_pyclone	17	1	0.15743621211895903	0.10628716429739961
PD058-F0_D779_pyclone	17	1	0.4303832263153575	0.15709224543654315
PD058-F2_1815_pyclone	18	225	0.9628807319738361	0.007794445023532106
PD058-58_T_pyclone	18	225	0.173945024803132	0.0050020053516879595
PD058-F0_D780_pyclone	18	225	0.9399182077223518	0.007579283275035291
PD058-F0_D779_pyclone	18	225	7.140819087317517e-36	2.672231106644318e-19
PD058-F2_1815_pyclone	19	1	0.8538363833521603	0.11774276876795081
PD058-58_T_pyclone	19	1	0.20346238153596796	0.11229555941663967
PD058-F0_D780_pyclone	19	1	0.9180184509628919	0.07512136318844657
PD058-F0_D779_pyclone	19	1	0.04906994502541164	0.0582421601585406
PD058-F2_1815_pyclone	20	2	0.7715878422486789	0.06994302618155548
PD058-58_T_pyclone	20	2	0.42971390670753856	0.05532703457391368
PD058-F0_D780_pyclone	20	2	0.6881857803813531	0.06662967172646396
PD058-F0_D779_pyclone	20	2	0.0194069993514091	0.013532336701187276
PD058-F2_1815_pyclone	21	1	0.39766015742425426	0.1958456895272577
PD058-58_T_pyclone	21	1	0.26400035958788415	0.14162432728992064
PD058-F0_D780_pyclone	21	1	0.8710781041573158	0.10402139009162227
PD058-F0_D779_pyclone	21	1	0.12301038703774614	0.12005099022112609
PD058-F2_1815_pyclone	22	1	0.6400336490852488	0.17898993245272515
PD058-58_T_pyclone	22	1	0.06481785304698581	0.06735700369385392
PD058-F0_D780_pyclone	22	1	0.049472735118503836	0.052871608898940714
PD058-F0_D779_pyclone	22	1	0.07812293069701329	0.07971907199426456
